id	title	brand	gtin	mpn	identifier_exists	description	price	availability	quantity	condition	shipping_weight	age_group	image_link	additional_image_link	link
lm2596s-dc-dc-3a	"LM2596s DC-DC 3A"	""			false	"LM2596s - Step-Down Voltage Regulator up to 3A"	2.9	in_stock	2	new	25 g	adult	https://images.izi.ua/83859610	https://images.izi.ua/83859871,https://images.izi.ua/83859870,https://images.izi.ua/83859609	https://smartstream-electronics.uk/item/lm2596s-dc-dc-3a
bmp280	"BMP280"	"Bosch Sensortec"			false	"BMP280 - Sensor for Temperature, Pressure, and Humidity Measurement"	1.5	in_stock	9	new	5 g	adult	https://images.izi.ua/84778923	https://images.izi.ua/84778922	https://smartstream-electronics.uk/item/bmp280
mpu-9250	"MPU-9250"	""			false	"MPU-9250 - Gyroscope, Accelerometer, and Magnetometer in One Device"	3.9	in_stock	1	new	5 g	adult	https://images.izi.ua/29881771	https://images.izi.ua/29881770,https://images.izi.ua/29886022	https://smartstream-electronics.uk/item/mpu-9250
apds-9960	"APDS-9960"	""			false	"APDS-9960 RGB color sensor and gesture recognition"	3.3	in_stock	9	new	5 g	adult	https://images.izi.ua/25804439	https://images.izi.ua/25804442,https://images.izi.ua/25804441,https://images.izi.ua/25804440	https://smartstream-electronics.uk/item/apds-9960
mac-series-35	"MAC Series 35"	""			false	"MAC 35 series - 35A solenoid with electromagnetically controlled operation"	12.9	in_stock	2	new	150 g	adult	https://images.izi.ua/83862864	https://images.izi.ua/83862868,https://images.izi.ua/83862869,https://images.izi.ua/83862865,https://images.izi.ua/83862866,https://images.izi.ua/83862867	https://smartstream-electronics.uk/item/mac-series-35
tec1-12715	"TEC1-12715"	""			false	"TEC1-12715 - Peltier element with a power of up to 136W"	4	in_stock	5	new	25 g	adult	https://smartstream-electronics.uk/photos/TEC1-12715-1.webp		https://smartstream-electronics.uk/item/tec1-12715
nrf24l01+	"nRF24L01+"	""			false	"nRF24L01+ - 2.4 GHz transceiver and audio streamer"	0.8	in_stock	5	new	5 g	adult	https://images.izi.ua/83841527	https://images.izi.ua/83841526,https://smartstream-electronics.uk/photos/nRF24L01+-1.webp,https://smartstream-electronics.uk/photos/nRF24L01+-2.webp	https://smartstream-electronics.uk/item/nrf24l01+
irf3205	"IRF3205"	"Infineon"			false	"IRF3205 MOSFET transistor up to 55 V and 110 A"	0.45	in_stock	10	new	3 g	adult	https://smartstream-electronics.uk/photos/IRF3205PbF-1.webp		https://smartstream-electronics.uk/item/irf3205
14-piece-tweezers-set-with-case	"14-Piece Tweezers Set with Case"	"Kaisi"			false	"14-Piece tweezers set with case"	17	in_stock	1	new	700 g	adult	https://smartstream-electronics.uk/photos/tweezers-set-14-1.webp	https://smartstream-electronics.uk/photos/tweezers-set-14-2.webp,https://smartstream-electronics.uk/photos/tweezers-set-14-3.webp,https://smartstream-electronics.uk/photos/tweezers-set-14-4.webp	https://smartstream-electronics.uk/item/14-piece-tweezers-set-with-case
led-smd-0805-(2012)	"LED SMD 0805 (2012)"	""			false	"LED SMD 0805"	2	in_stock	1	new	10 g	adult	https://smartstream-electronics.uk/photos/LED0805-1.webp	https://smartstream-electronics.uk/photos/LED0805-2.webp	https://smartstream-electronics.uk/item/led-smd-0805-(2012)
